,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
1014,1014,1218,Josip Stanišić,77,73,44,65,69,78,74,68,77,53,44,52,37,29,37,58,72,23,74,60,67,68,66,64,76,73,66,78,76,78,79,77,82,71,75,75,RB,4,2,Right,"187cm / 6'2""",77kg / 170lb,CB,24,Croatia,Bundesliga,FC Bayern München,Anticipate,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/josip-stanisic/250955,,,,,
1015,1015,1218,Calvin Stengs,77,71,69,78,78,54,66,73,70,75,66,75,70,71,52,83,75,65,81,76,76,80,79,67,76,77,74,58,44,46,64,52,61,82,62,58,CAM,3,4,Left,"187cm / 6'2""",70kg / 154lb,RW,25,Holland,Eredivisie,Feyenoord,"Finesse Shot, Flair, Incisive Pass, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/calvin-stengs/236593,,,,,
1016,1016,1218,Kevin Stöger,77,57,71,81,77,64,62,62,52,72,69,74,76,62,62,84,77,74,83,82,78,74,79,79,79,80,72,68,45,66,66,59,59,72,63,50,CAM,3,3,Left,"175cm / 5'9""",74kg / 163lb,CM,31,Austria,Bundesliga,M'gladbach,"Dead Ball, Finesse Shot, Incisive Pass, Long Ball Pass, Press Proven, Relentless, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kevin-stoger/204497,,,,,
1017,1017,1218,Heorhii Sudakov,77,78,73,74,80,58,69,80,76,73,71,75,80,67,70,78,69,64,76,75,68,82,78,75,74,80,71,55,68,61,54,56,78,73,68,64,CAM,5,3,Right,"177cm / 5'10""",68kg / 150lb,CM,22,Ukraine,Ukrayina Liha,Shakhtar Donetsk,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/heorhii-sudakov/259913,,,,,
1018,1018,1218,Yukinari Sugawara,77,82,54,76,73,71,71,80,83,72,48,65,54,50,49,73,79,76,75,78,79,71,80,75,75,72,71,71,54,72,76,73,79,79,67,68,RB,3,3,Right,"178cm / 5'10""",68kg / 150lb,,24,Japan,Premier League,Southampton,"Dead Ball, Long Throw, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yukinari-sugawara/242916,,,,,
1019,1019,1218,Josip Šutalo,77,80,32,61,71,77,77,79,80,37,27,43,29,26,39,64,45,22,72,75,29,70,65,48,79,75,76,78,74,76,79,78,87,76,80,67,CB,3,2,Right,"185cm / 6'1""",82kg / 181lb,,24,Croatia,Eredivisie,Ajax,"Anticipate, Intercept",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/josip-sutalo/256325,,,,,
1020,1020,1218,Mattias Svanberg,77,81,69,75,77,63,73,76,85,71,65,74,77,53,57,78,68,63,80,76,66,78,74,67,78,79,72,72,32,64,67,62,65,76,75,65,CM,3,3,Right,"185cm / 6'1""",75kg / 165lb,CDM,25,Sweden,Bundesliga,VfL Wolfsburg,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mattias-svanberg/228946,,,,,
1021,1021,1218,Mathys Tel,77,86,80,64,77,29,64,85,87,77,80,88,77,76,64,71,56,56,68,59,68,79,79,77,64,77,74,18,70,22,27,32,80,67,67,48,ST,4,4,Right,"183cm / 6'0""",77kg / 170lb,"LM, RM",19,France,Bundesliga,FC Bayern München,Finesse Shot,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mathys-tel/268421,,,,,
1022,1022,1218,Arthur Theate,77,71,40,55,59,78,80,65,75,23,23,70,58,24,32,50,53,37,63,57,33,53,59,51,74,64,72,79,74,77,81,76,83,72,84,80,CB,3,2,Left,"185cm / 6'1""",78kg / 172lb,,24,Belgium,Bundesliga,Frankfurt,"Aerial, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/arthur-theate/257278,,,,,
1023,1023,1218,Malik Tillman,77,80,68,72,80,62,72,82,78,76,70,72,65,55,58,77,67,43,77,71,69,80,81,88,76,81,76,61,73,56,67,56,87,71,76,59,CAM,3,4,Right,"187cm / 6'2""",71kg / 157lb,"LW, CM",22,United States,Eredivisie,PSV,"First Touch, Flair, Incisive Pass, Power Shot, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/malik-tillman/256853,,,,,
1024,1024,1218,Lucas Torró,77,44,63,69,68,75,75,49,40,59,59,73,69,46,57,69,52,52,79,77,58,64,64,43,74,78,69,75,75,74,77,74,75,78,76,71,CDM,3,2,Right,"190cm / 6'3""",77kg / 170lb,CM,30,Spain,LALIGA EA SPORTS,CA Osasuna,"Aerial, Long Ball Pass, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucas-torro/208137,,,,,
1025,1025,1218,Óscar Trejo,77,64,75,77,80,70,77,63,65,74,74,75,76,72,80,80,73,75,80,75,74,83,87,79,71,75,76,73,65,70,71,68,74,87,76,70,CAM,4,3,Right,"180cm / 5'11""",79kg / 174lb,ST,36,Argentina,LALIGA EA SPORTS,Rayo Vallecano,"Flair, Technical, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/oscar-trejo/173030,,,,,
1026,1026,1218,Adrien Truffert,77,76,57,71,75,73,69,75,76,71,52,69,51,58,54,66,78,53,72,72,66,76,70,75,71,76,68,74,59,71,78,77,71,79,65,67,LB,3,2,Left,"176cm / 5'9""",72kg / 159lb,LM,22,France,Ligue 1 McDonald's,Stade Rennais FC,Whipped Pass,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/adrien-truffert/256769,,,,,
1027,1027,1218,Konstantinos Tsimikas,77,80,57,74,75,73,78,83,78,75,48,69,64,37,54,72,81,68,73,71,75,76,77,73,74,75,71,76,55,73,76,75,79,77,77,80,LB,3,3,Left,"179cm / 5'10""",77kg / 170lb,,28,Greece,Premier League,Liverpool,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/konstantinos-tsimikas/232223,,,,,
1028,1028,1218,Bruma,77,89,73,69,82,32,60,91,88,73,74,75,72,64,68,70,70,70,70,61,77,83,90,88,66,82,68,38,53,26,27,28,71,70,56,56,LM,3,4,Right,"173cm / 5'8""",70kg / 154lb,"CAM, RW, LW",29,Portugal,Liga Portugal,SC Braga,"Quick Step, Rapid, Trickster",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bruma/211368,,,,,
1029,1029,1218,Martin Valjent,77,63,36,59,65,78,83,67,59,52,25,49,47,40,26,53,39,30,75,67,54,62,72,65,68,69,60,70,77,79,81,79,86,82,85,79,CB,2,2,Right,"187cm / 6'2""",70kg / 154lb,,28,Slovakia,LALIGA EA SPORTS,RCD Mallorca,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/martin-valjent/219585,,,,,
1030,1030,1218,Sepp van den Berg,77,76,36,63,66,78,76,69,82,52,29,51,31,31,40,62,61,26,72,67,38,64,64,52,76,69,74,76,83,78,80,72,88,69,79,73,CB,3,2,Right,"192cm / 6'4""",87kg / 192lb,,22,Holland,Premier League,Brentford,"Aerial, Block",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sepp-van-den-berg/242453,,,,,
1031,1031,1218,Jamie Vardy,77,74,78,69,72,52,66,77,71,83,81,81,64,80,83,70,68,63,73,59,69,70,69,66,76,76,78,49,78,45,51,53,82,61,61,80,ST,4,3,Right,"179cm / 5'10""",74kg / 163lb,,37,England,Premier League,Leicester City,Chip Shot,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jamie-vardy/208830,,,,,
1032,1032,1218,Vesga,77,45,74,74,65,76,81,34,54,72,74,78,72,63,78,80,63,53,78,80,60,65,47,38,80,73,68,78,70,77,77,72,71,83,87,66,CM,3,3,Left,"191cm / 6'3""",86kg / 190lb,CDM,31,Spain,LALIGA EA SPORTS,Athletic Club,"Bruiser, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vesga/146947,,,,,
1033,1033,1218,Elye Wahi,77,84,79,67,79,31,67,84,84,78,81,80,76,86,66,68,64,60,72,60,66,79,80,82,75,78,77,28,67,25,29,23,80,70,69,57,ST,4,4,Right,"181cm / 5'11""",77kg / 170lb,,21,France,Ligue 1 McDonald's,OM,"Acrobatic+, Flair, Quick Step, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/elye-wahi/260407,,,,,
1034,1034,1218,Wout Weghorst,77,59,76,61,68,58,86,51,66,80,75,84,68,76,71,70,38,48,77,54,40,65,53,40,81,80,74,54,86,48,64,52,87,75,90,87,ST,3,2,Right,"197cm / 6'6""",84kg / 185lb,,32,Holland,Eredivisie,Ajax,Power Header,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wout-weghorst/223689,,,,,
1035,1035,1218,Mitchell Weiser,77,79,63,73,81,70,71,78,80,73,65,58,61,59,58,77,74,52,77,68,69,82,84,81,79,78,76,74,66,67,70,72,75,85,64,68,RB,4,4,Right,"177cm / 5'10""",70kg / 154lb,RM,30,Germany,Bundesliga,SV Werder Bremen,"Flair, Jockey, Rapid, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mitchell-weiser/206591,,,,,
1036,1036,1218,Joe Willock,77,77,72,73,80,72,69,74,80,77,74,75,68,66,62,79,66,46,79,74,68,82,79,72,75,79,78,76,70,70,75,62,75,74,66,70,CM,3,3,Right,"186cm / 6'1""",71kg / 157lb,CAM,25,England,Premier League,Newcastle Utd,"Finesse Shot, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joe-willock/237329,,,,,
1037,1037,1218,Patrick Wimmer,77,80,69,71,81,49,70,83,78,76,69,77,67,57,52,78,71,50,75,61,64,83,85,82,75,78,68,48,44,53,47,45,70,76,71,60,RM,4,4,Right,"182cm / 6'0""",77kg / 170lb,"ST, RW",23,Austria,Bundesliga,VfL Wolfsburg,"Acrobatic, First Touch, Flair, Rapid, Relentless, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/patrick-wimmer/254566,,,,,
1038,1038,1218,Maximilian Wöber,77,65,52,67,65,78,78,62,67,56,41,67,62,34,58,60,63,69,72,69,65,63,62,55,76,67,67,75,78,78,79,77,77,67,82,83,CB,2,2,Left,"188cm / 6'2""",85kg / 187lb,,26,Austria,EFL Championship,Leeds United,Slide Tackle,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maximilian-wober/231838,,,,,
1039,1039,1218,İsmail Yüksek,77,74,60,71,72,74,77,76,72,62,53,75,66,45,48,69,63,58,76,75,69,69,76,69,74,77,64,77,68,75,74,72,80,83,74,77,CDM,3,3,Right,"183cm / 6'0""",77kg / 170lb,CM,25,Turkey,Trendyol Süper Lig,Fenerbahçe,"Intercept, Jockey, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ismail-yuksek/260466,,,,,
1040,1040,1218,Illia Zabarnyi,77,63,37,62,61,78,76,56,68,35,33,50,34,28,40,50,57,40,75,70,36,55,64,56,76,65,70,77,76,78,78,77,81,67,80,75,CB,3,2,Right,"189cm / 6'2""",80kg / 176lb,,22,Ukraine,Premier League,AFC Bournemouth,"Block, Jockey",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/illia-zabarnyi/258781,,,,,
1041,1041,1218,Dan-Axel Zagadou,77,55,34,60,51,77,80,40,67,31,26,66,25,25,30,59,46,25,72,70,37,51,33,34,69,52,70,74,86,74,80,70,77,60,93,75,CB,3,2,Left,"196cm / 6'5""",90kg / 198lb,,25,France,Bundesliga,VfB Stuttgart,"Aerial, Bruiser, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dan-axel-zagadou/238476,,,,,
1042,1042,1218,Nicola Zalewski,77,85,64,74,79,64,59,83,86,75,58,72,66,69,69,73,75,72,77,66,75,80,80,75,72,79,72,64,45,66,67,63,59,80,46,65,LM,4,3,Right,"175cm / 5'9""",78kg / 172lb,"LB, RM, LW",22,Poland,Serie A Enilive,AS Roma,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicola-zalewski/262113,,,,,
1043,1043,1525,Salis Abdul Samed,76,60,49,66,69,74,79,61,59,58,51,49,45,38,45,73,48,34,76,71,49,66,65,70,74,74,74,74,67,74,77,70,73,88,73,82,CDM,2,2,Right,"179cm / 5'10""",69kg / 152lb,CM,24,Ghana,EFL Championship,Sunderland,Relentless,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/salis-abdul-samed/252059,,,,,
1044,1044,1525,Mohammed Abu Fani,76,65,64,76,73,67,71,68,63,69,61,69,67,56,56,84,64,66,80,78,65,67,80,84,76,76,81,67,58,64,70,72,61,76,68,75,CM,3,3,Right,"164cm / 5'5""",62kg / 137lb,CDM,26,Israel,Magyar Liga,Ferencvárosi TC,"Incisive Pass, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohammed-abu-fani/275976,,,,,
1045,1045,1525,Simon Adingra,76,88,70,69,80,30,52,90,87,70,72,73,67,68,60,73,70,53,72,63,65,81,88,85,72,77,80,27,32,30,32,30,56,70,45,47,RM,3,3,Right,"175cm / 5'9""",68kg / 150lb,"LM, RW",22,Côte d'Ivoire,Premier League,Brighton,"Flair, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/simon-adingra/260779,,,,,
1046,1046,1525,Luis Advíncula,76,90,69,70,74,69,81,90,90,74,65,77,74,59,64,67,73,63,72,67,76,74,82,80,71,72,62,71,62,69,71,67,85,88,79,75,RB,3,3,Right,"180cm / 5'11""",80kg / 176lb,RM,34,Peru,Sudamericana,Boca Juniors,"Power Shot, Rapid, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luis-advincula/204539,,,,,
1047,1047,1525,Michel Aebischer,76,66,67,74,75,74,74,73,61,68,66,73,69,57,51,74,68,65,80,75,67,73,75,72,73,78,72,77,62,74,76,75,76,83,72,67,CM,4,3,Right,"183cm / 6'0""",76kg / 168lb,"CDM, RM",27,Switzerland,Serie A Enilive,Bologna,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/michel-aebischer/236898,,,,,
1048,1048,1525,Kristoffer Ajer,76,64,56,63,70,74,82,54,73,58,58,64,47,41,49,55,64,42,71,64,58,75,44,46,68,74,77,72,73,73,76,77,74,68,90,79,CB,3,3,Right,"196cm / 6'5""",84kg / 185lb,RB,26,Norway,Premier League,Brentford,"Aerial, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kristoffer-ajer/224258,,,,,
1049,1049,1525,Maghnes Akliouche,76,74,68,75,80,48,59,74,74,71,70,64,69,59,61,78,73,67,77,72,75,81,79,75,74,80,78,48,46,46,52,44,62,64,58,54,RM,3,4,Left,"183cm / 6'0""",63kg / 139lb,"CAM, RW",22,France,Ligue 1 McDonald's,AS Monaco,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maghnes-akliouche/264862,,,,,
1050,1050,1525,Chuba Akpom,76,77,75,59,71,32,74,77,77,79,78,78,68,67,66,60,52,46,69,51,55,69,75,66,78,72,72,29,75,23,31,22,87,71,78,64,ST,3,3,Right,"183cm / 6'0""",81kg / 179lb,CAM,28,England,Eredivisie,Ajax,Power Header,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/chuba-akpom/213418,,,,,
1051,1051,1525,Rodrigo Aliendro,76,70,70,74,79,72,77,78,63,76,68,76,70,71,65,75,71,58,78,71,71,79,77,86,76,79,82,72,69,68,75,74,81,76,75,83,CDM,3,4,Right,"173cm / 5'8""",72kg / 159lb,CM,33,Argentina,Libertadores,River Plate,"Block, Flair, Jockey, Press Proven, Relentless, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodrigo-aliendro/233029,,,,,
1052,1052,1525,Stephen Eustáquio,76,66,66,75,73,72,73,67,65,67,64,72,68,57,64,77,72,65,78,75,74,71,72,73,75,77,76,75,55,74,74,72,75,77,69,76,CDM,3,2,Right,"178cm / 5'10""",67kg / 148lb,CM,27,Canada,Liga Portugal,FC Porto,"Bruiser, Jockey, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stephen-eustaquio/242380,,,,,
1053,1053,1525,Gabriel Arias,76,76,72,72,76,45,75,45,44,17,18,54,16,14,26,50,15,20,38,42,30,25,46,57,74,40,45,13,22,27,21,24,68,35,67,33,GK,3,1,Right,"189cm / 6'2""",85kg / 187lb,,37,Chile,Sudamericana,Racing Club,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gabriel-arias/223249,76.0,72.0,72.0,75.0,76.0
1054,1054,1525,Santiago Ascacíbar,76,70,70,71,75,73,71,78,64,74,67,77,72,70,55,74,60,55,83,68,52,70,81,88,75,78,72,71,57,75,77,75,76,87,57,87,CM,3,2,Right,"169cm / 5'7""",69kg / 152lb,CDM,27,Argentina,Libertadores,Estudiantes,"First Touch, Power Shot, Relentless, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/santiago-ascacibar/232244,,,,,
1055,1055,1525,Taiwo Awoniyi,76,75,76,60,69,32,79,69,79,78,78,82,66,68,70,53,57,44,69,56,55,72,55,62,76,70,63,33,76,25,27,23,88,62,88,77,ST,2,3,Right,"183cm / 6'0""",84kg / 185lb,,27,Nigeria,Premier League,Nott'm Forest,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/taiwo-awoniyi/230978,,,,,
1056,1056,1525,Hernani,76,60,70,71,72,73,75,60,60,69,63,78,77,63,73,71,60,78,76,77,63,73,67,54,73,74,77,77,66,73,74,70,73,72,75,79,CDM,4,3,Right,"188cm / 6'2""",77kg / 170lb,CM,30,Brazil,Serie A Enilive,Parma,"Block, Power Shot, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hernani/225475,,,,,
1057,1057,1525,Carlos Bacca,76,61,79,64,75,32,62,64,59,81,84,84,60,78,80,68,60,58,69,55,69,74,66,70,72,79,76,34,74,40,16,14,76,48,69,58,ST,3,3,Right,"181cm / 5'11""",77kg / 170lb,,38,Colombia,Libertadores,Junior,Trivela,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/carlos-bacca/207664,,,,,
1058,1058,1525,Eric Bailly,76,68,42,59,66,76,71,64,71,47,33,55,48,42,46,59,49,43,68,61,46,65,61,60,70,67,76,77,72,77,76,78,82,35,84,80,CB,3,3,Right,"187cm / 6'2""",77kg / 170lb,,30,Côte d'Ivoire,LALIGA EA SPORTS,Villarreal CF,Slide Tackle,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/eric-bailly/225508,,,,,
1059,1059,1525,Tommaso Baldanzi,76,78,72,73,79,41,50,77,78,79,69,77,74,70,58,79,68,64,76,68,75,79,83,88,70,78,69,33,48,42,41,48,54,68,40,53,CAM,3,3,Left,"170cm / 5'7""",63kg / 139lb,ST,21,Italy,Serie A Enilive,AS Roma,"Finesse Shot, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tommaso-baldanzi/269312,,,,,
1060,1060,1525,Taison,76,82,75,73,81,44,65,81,82,70,74,78,76,78,70,70,73,74,75,74,58,83,82,82,58,83,76,42,56,32,53,40,73,70,65,55,CAM,3,4,Right,"172cm / 5'8""",67kg / 148lb,LW,36,Brazil,Hellas Liga,PAOK FC,Finesse Shot,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/taison/188803,,,,,
1061,1061,1525,Enis Bardhi,76,71,77,77,78,58,53,77,66,75,72,85,82,78,80,75,77,85,77,73,87,78,84,85,70,77,77,62,51,57,59,54,56,71,40,62,CAM,4,4,Right,"172cm / 5'8""",64kg / 141lb,"CM, LM",29,North Macedonia,Trendyol Süper Lig,Trabzonspor,"Dead Ball, Trivela, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/enis-bardhi/237239,,,,,
1062,1062,1525,Leandro Barreiro Martins,76,72,63,69,79,73,64,76,69,70,66,62,62,56,47,74,54,46,78,72,62,78,88,91,77,78,74,79,52,75,74,71,60,86,48,76,CM,3,3,Right,"174cm / 5'9""",67kg / 148lb,CDM,24,Luxembourg,Liga Portugal,SL Benfica,"Block, Relentless, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leandro-barreiro-martins/245253,,,,,
1063,1063,1525,Pablo Barrios,76,76,68,72,75,69,63,77,75,72,69,72,70,45,62,79,57,48,80,79,47,75,72,62,73,77,75,78,57,66,71,63,71,64,63,62,CM,3,3,Right,"181cm / 5'11""",75kg / 165lb,CDM,21,Spain,LALIGA EA SPORTS,Atlético de Madrid,Intercept,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pablo-barrios/272449,,,,,
1064,1064,1525,Musa Barrow,76,84,73,68,76,31,64,82,85,76,75,76,74,60,58,73,65,56,74,58,60,78,78,57,76,77,70,20,63,45,20,16,78,72,69,40,LW,4,3,Right,"183cm / 6'0""",70kg / 154lb,"ST, LM",25,Gambia,ROSHN Saudi League,Al Taawoun,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/musa-barrow/242374,,,,,
1065,1065,1525,Federico Baschirotto,76,70,53,60,57,75,86,67,73,57,52,53,56,44,49,63,60,48,63,57,56,48,69,50,70,62,69,73,69,80,74,72,83,74,92,88,CB,3,2,Right,"184cm / 6'0""",77kg / 170lb,,27,Italy,Serie A Enilive,Lecce,"Aerial, Block, Bruiser, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-baschirotto/268573,,,,,
1066,1066,1525,Calvin Bassey,76,82,44,62,67,74,86,76,86,57,36,65,36,49,44,55,68,37,67,60,63,67,67,70,71,66,62,72,74,72,78,74,83,89,88,79,CB,3,2,Left,"185cm / 6'1""",76kg / 168lb,,24,Nigeria,Premier League,Fulham,Acrobatic,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/calvin-bassey/241436,,,,,
1067,1067,1525,Augusto Batalla,76,77,73,74,78,43,74,43,42,17,14,56,15,13,23,51,17,17,25,22,13,13,37,43,73,18,34,23,16,18,18,17,68,31,72,26,GK,3,1,Right,"185cm / 6'1""",87kg / 192lb,,28,Argentina,LALIGA EA SPORTS,Rayo Vallecano,"Cross Claimer, Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/augusto-batalla/227186,77.0,73.0,74.0,74.0,78.0
1068,1068,1525,Mourad Batna,76,72,74,74,77,36,79,73,72,76,71,80,77,74,72,74,76,74,72,71,80,79,74,63,76,77,75,36,66,28,34,31,75,80,84,66,RM,5,3,Left,"185cm / 6'1""",76kg / 168lb,RW,34,Morocco,ROSHN Saudi League,Al Fateh,"Finesse Shot, Power Shot, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mourad-batna/259265,,,,,
1069,1069,1525,Martin Baturina,76,76,70,77,81,59,67,77,75,65,66,76,73,70,70,78,72,73,79,77,74,83,78,84,70,82,78,58,49,62,60,58,67,78,63,64,CAM,4,3,Right,"172cm / 5'8""",68kg / 150lb,CM,21,Croatia,Liga Hrvatska,Dinamo Zagreb,"Finesse Shot, First Touch, Flair, Incisive Pass, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/martin-baturina/262842,,,,,
1070,1070,1525,Altay Bayındır,76,78,73,72,79,30,76,30,31,14,10,54,11,15,16,55,11,14,40,45,10,10,51,24,69,16,60,14,14,14,13,10,61,31,68,29,GK,2,1,Right,"198cm / 6'6""",88kg / 194lb,,26,Turkey,Premier League,Man Utd,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/altay-bay-nd-r/243647,78.0,73.0,72.0,76.0,79.0
1071,1071,1525,Ihlas Bebou,76,85,74,68,78,34,65,86,85,78,76,77,70,70,67,69,74,46,74,53,66,80,78,74,77,77,73,31,64,26,35,33,80,74,69,40,ST,3,4,Right,"185cm / 6'1""",80kg / 176lb,"RM, RW",30,Togo,Bundesliga,TSG Hoffenheim,"Quick Step, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ihlas-bebou/216258,,,,,
1072,1072,1525,Sheraldo Becker,76,93,74,70,78,35,69,91,94,75,75,77,71,73,66,66,72,50,74,69,66,78,78,80,78,78,73,45,65,21,32,33,84,73,73,52,ST,2,3,Right,"180cm / 5'11""",77kg / 170lb,RM,29,Suriname,LALIGA EA SPORTS,Real Sociedad,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sheraldo-becker/223790,,,,,
1073,1073,1525,Raoul Bellanova,76,86,32,65,73,69,72,82,90,60,32,26,27,35,41,61,77,33,74,49,55,76,63,64,67,76,66,69,68,67,72,70,79,78,69,68,RB,3,2,Right,"188cm / 6'2""",85kg / 187lb,RM,24,Italy,Serie A Enilive,Bergamo Calcio,"Quick Step, Rapid, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/raoul-bellanova/247229,,,,,
1074,1074,1525,Héctor Bellerín,76,80,51,69,76,72,64,78,81,67,52,52,43,41,62,66,75,50,74,59,63,76,75,78,76,76,70,74,58,72,75,76,69,71,57,71,RB,2,3,Right,"178cm / 5'10""",74kg / 163lb,,29,Spain,LALIGA EA SPORTS,Real Betis,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hector-bellerin/203747,,,,,
1075,1075,1525,Patrick Berg,76,73,64,74,73,70,78,72,74,68,59,67,72,57,58,76,70,64,77,75,72,71,70,77,75,75,76,73,58,71,71,68,74,92,75,68,CDM,2,3,Right,"178cm / 5'10""",76kg / 168lb,CM,26,Norway,Eliteserien,FK Bodø/Glimt,"Intercept, Press Proven, Relentless, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/patrick-berg/222227,,,,,
1076,1076,1525,Sander Berge,76,53,65,73,71,75,85,51,55,70,63,76,62,51,54,75,66,51,78,77,72,75,47,33,76,77,81,76,74,75,76,72,81,81,91,76,CM,3,3,Right,"195cm / 6'5""",96kg / 212lb,CDM,26,Norway,Premier League,Fulham,Pinged Pass,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sander-berge/228092,,,,,
1077,1077,1525,Jordan Beyer,76,72,34,63,70,76,75,67,76,48,29,46,30,31,42,55,61,35,74,69,44,69,68,64,74,72,74,75,74,75,77,76,81,68,77,75,CB,3,2,Right,"187cm / 6'2""",80kg / 176lb,,24,Germany,EFL Championship,Burnley,Slide Tackle,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jordan-beyer/242660,,,,,
1078,1078,1525,Miguel Borja,76,77,76,66,71,41,82,75,78,81,77,80,69,69,77,70,67,59,67,62,60,71,69,56,75,72,76,32,76,40,39,36,84,76,88,76,ST,4,3,Right,"184cm / 6'0""",89kg / 196lb,,31,Colombia,Libertadores,River Plate,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/miguel-borja/219862,,,,,
1079,1079,1525,Hicham Boudaoui,76,75,65,73,77,74,74,74,75,73,68,65,64,51,54,73,68,58,77,74,77,77,79,77,77,78,73,72,73,72,76,75,79,86,67,75,CM,3,3,Right,"175cm / 5'9""",61kg / 134lb,CDM,24,Algeria,Ligue 1 McDonald's,OGC Nice,Technical,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hicham-boudaoui/253157,,,,,
